dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,conformal_method,score_source,schema_version,status,status_reason,standard_threshold,class0_threshold,class1_threshold,standard_calibration_count,class0_calibration_count,class1_calibration_count,standard_threshold_infinite,class0_threshold_infinite,class1_threshold_infinite,all_thresholds_finite,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,50,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.82007454406182489,,,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,992b94017e080cf788cf18d9a69242da11179b7662a12f686fab63b0c2c6e184,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.786018+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,50,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.82458153295659642,0.77075730926095332,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,992b94017e080cf788cf18d9a69242da11179b7662a12f686fab63b0c2c6e184,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.789423+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,100,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.73660416816447871,,,100,66,34,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e2441e1cf536823e69618b2ba731ac6b52933dc84ae29400337a7d9c8f871f64,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.239638+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,100,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.73660416816447871,0.80323470977854405,100,66,34,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e2441e1cf536823e69618b2ba731ac6b52933dc84ae29400337a7d9c8f871f64,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.243315+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,100,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.73180060807930358,,,100,66,34,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e2441e1cf536823e69618b2ba731ac6b52933dc84ae29400337a7d9c8f871f64,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.246906+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,100,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.73180060807930358,0.80172898335888543,100,66,34,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e2441e1cf536823e69618b2ba731ac6b52933dc84ae29400337a7d9c8f871f64,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.250464+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,250,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.68158468149043239,,,250,153,97,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0559d4b54767a3681024bd64448c97f2f495622d49b9521a6310a69b54abc5cb,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.697691+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,250,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.55918673760236615,0.77197021712680036,250,153,97,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0559d4b54767a3681024bd64448c97f2f495622d49b9521a6310a69b54abc5cb,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.701356+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,250,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.67703825863419842,,,250,153,97,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0559d4b54767a3681024bd64448c97f2f495622d49b9521a6310a69b54abc5cb,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.704910+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,250,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.55584656159527368,0.77075730926095332,250,153,97,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0559d4b54767a3681024bd64448c97f2f495622d49b9521a6310a69b54abc5cb,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.708432+00:00
