dataset,source_family,base_model,calibration_method,metric,effect_column,budget,absolute_budget,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,median,IQR,p05,p95,worst_observed_effect,availability_rate,algorithm_estimability_rate,estimable_rate,any_benefit_rate,any_harm_rate,material_benefit_rate,material_harm_rate,total_attempts,available_attempts,algorithm_estimable_attempts,finite_paired_effects,in_analysis_scope,analysis_scope,equal_task_effect,equal_family_effect,estimable_task_count_at_budget,source_family_count_at_budget,source_file
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,-0.043984482519487,0.0804874673453155,-0.24864027845286818,0.013093889572085503,-1.126218788395789,1.0,1.0,1.0,0.16,0.84,0.11666666666666667,0.7883333333333333,600.0,600.0,600.0,600.0,True,college_stress,-0.043984482519487,-0.043984482519487,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,-0.39821677323050536,0.7287770300463765,-1.5630913665998039,0.07824007234822022,-2.570007419872986,1.0,0.9266666666666666,0.9266666666666666,0.11690647482014388,0.8830935251798561,0.11510791366906475,0.8794964028776978,600.0,600.0,556.0,556.0,True,college_stress,-0.39821677323050536,-0.39821677323050536,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,25,25,0.2403846153846154,17.0,8.0,-0.024050177159082253,0.06488831772467277,-0.15535363004544483,0.012730983670068396,-0.2952554878959771,1.0,1.0,1.0,0.14333333333333334,0.8566666666666667,0.075,0.7066666666666667,600.0,600.0,600.0,600.0,True,college_stress,-0.024050177159082253,-0.024050177159082253,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,-0.02484119079861208,0.0571635347392104,-0.11725681705109497,0.0010373343327070236,-0.21398045850811875,1.0,1.0,1.0,0.15833333333333333,0.8416666666666667,0.008333333333333333,0.6916666666666667,600.0,600.0,600.0,600.0,True,college_stress,-0.02484119079861208,-0.02484119079861208,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,-0.025328137027672726,0.04464587689247276,-0.10575768295081428,0.014591756199395177,-0.29413400711689597,1.0,1.0,1.0,0.18166666666666667,0.8183333333333334,0.115,0.74,600.0,600.0,600.0,600.0,True,college_stress,-0.025328137027672726,-0.025328137027672726,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,-0.28027956496684037,0.2409501478774937,-0.894630148264555,0.0023581304611412814,-1.4112494336186785,1.0,1.0,1.0,0.055,0.945,0.03833333333333333,0.9416666666666667,600.0,600.0,600.0,600.0,True,college_stress,-0.28027956496684037,-0.28027956496684037,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,50,50,0.4807692307692308,34.0,16.0,-0.023679850194461005,0.05617096353370565,-0.11581601047655629,0.0011656786449973033,-0.19696115378507928,1.0,1.0,1.0,0.18,0.82,0.013333333333333334,0.675,600.0,600.0,600.0,600.0,True,college_stress,-0.023679850194461005,-0.023679850194461005,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,-0.03281443276647705,0.05775005493039134,-0.06454567502769337,0.0011746785520095225,-0.06758196061942046,1.0,1.0,1.0,0.315,0.685,0.0,0.6666666666666666,600.0,600.0,600.0,600.0,True,college_stress,-0.03281443276647705,-0.03281443276647705,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,-0.023644020696767187,0.03234218765155483,-0.04503224634314724,0.0034051582089279645,-0.05202987746369525,1.0,1.0,1.0,0.18833333333333332,0.8116666666666666,0.005,0.6933333333333334,600.0,600.0,600.0,600.0,True,college_stress,-0.023644020696767187,-0.023644020696767187,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,log_loss,delta_log_loss,100,100,0.9615384615384616,68.0,32.0,-0.2181032261563705,0.1845600389633233,-0.3254555397074992,-0.06455639679727943,-0.3950103948109924,1.0,1.0,1.0,0.0,1.0,0.0,1.0,600.0,600.0,600.0,600.0,True,college_stress,-0.2181032261563705,-0.2181032261563705,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
